,제목,날짜,기관,링크
0,스마트 그린도시 아이디어 공모전,D-5,환경부,https://www.thinkcontest.com//Contest/ContestDetail.html?id=24218
1,제3회 글로벌 이노베이션 콘테스트(GIC),D-1,LG화학,https://www.thinkcontest.com//Contest/ContestDetail.html?id=25431
2,2021 ICT 융합 프로젝트 공모전,D-8,(주)엔티렉스-디바이스마트,https://www.thinkcontest.com//Contest/ContestDetail.html?id=25374
3,(기타) 청소년 항공우주탐구동아리 kestrel 7기 모집(추가모집),D-9,서울시립보라매청소년센터,https://www.thinkcontest.com//Contest/ContestDetail.html?id=25344
4,(경진대회) 2020 기계 시설물 분야 AI 학습용 데이터 활용 경진대회,D-3,대전광역시 컨소시엄,https://www.thinkcontest.com//Contest/ContestDetail.html?id=25279
5,(경진대회) MZ 인공지능 해커톤 대회,D-0,한국정보화진흥원,https://www.thinkcontest.com//Contest/ContestDetail.html?id=25191
6,인공지능 Learner 및 인턴(Storytelling 학습자/개발자/기획자) 후보자 선발,D-69,"ISE, AIQ",https://www.thinkcontest.com//Contest/ContestDetail.html?id=25174
7,시스템 품질 변화로 인한 사용자 불편 예지 AI 경진대회,D-10,LG AI Research,https://www.thinkcontest.com//Contest/ContestDetail.html?id=25143
8,제56회 신년 QSO PARTY,D-7,(사)한국아마추어무선연맹,https://www.thinkcontest.com//Contest/ContestDetail.html?id=24833
9,[Ringle] 제 1회 링글 글로벌 성장 전략/서비스 기획 공모전,D-12,(주)링글잉글리시에듀케이션서비스,https://www.thinkcontest.com//Contest/ContestDetail.html?id=24762
10,2020 국토도시 데이터 분석과제 2차 오픈,D-4,LH 한국토지주택공사,https://www.thinkcontest.com//Contest/ContestDetail.html?id=24632
11,태양광 발전량 예측 AI 경진대회,D-2,"연구개발특구진흥재단, 한국원자력연구원(KAERI)",https://www.thinkcontest.com//Contest/ContestDetail.html?id=24430
12,2020년도 미래도전국방기술 사업 기술경진대회,D-1,국방과학연구소,https://www.thinkcontest.com//Contest/ContestDetail.html?id=24368
13,2020 ZEISS Microscopy Research Contest,D-35,ZEISS,https://www.thinkcontest.com//Contest/ContestDetail.html?id=23152
